Code	Provider	Marking	Case	Unit	Description	Provider	Category
	Code	Code		$US			
MAX333			SOIC16W	5.52	"SW ANALOG QUAD SPST, +/-22V-Supply Voltage Range, 25R-ON, ESD >2kV,"	5	7
MAX358CWE			SOIC16W	9.91	"SW ANALOG Single-8-CH-MUX, 44V Supply Voltage Range,Fault-Protected"	5	7
MAX359CWE			SOIC16W	9.91	"SW ANALOG Dual-4-CH-MUX, 44V Supply Voltage Range,Fault-Protected"	5	7
MAX4510EUA			uMAX8	0	"SW ANALOG Single SPST, +/-20V-Supply Voltage Range, Fault-Protected,"	1	7
MAX4544EUT			SOT23-6	1.67	"SW ANALOG DUAL SPDT LV, 2.7...12V-Supply Voltage Range,"	1	7
ICL8211CPA			DIL8	1.5	Comparator	1	8
LM311N	LM311N		DIL8	0.45	Comparator	1	8
LM311D	311		SOIC8	0.45	Comparator	1	8
LM393	LM393		SOIC8	0	Dual Comparator	1	8
LM2903	2903		SOIC8	0		1	8
LM239			SOIC14	0.45	Comparator	1	8
LM339D		239	SOIC14	0.45	QUAD Comparator	4	8
LM339N			DIL14	0.45	QUAD Comparator	1	8
TLV3401IDBVR	296-13376-1-ND	VBDI	SOT23-5	1.3	"Comparator Nanopwr, open Drain"	3	8
TLV3701CDBVT	296-13378-1-ND	"V8C, VBCC"	SOT23-5	1.63	"Comparator Nanopwr, push-pull"	3	8
MCP65R46T-1202E	3222966-339		SOT23-6	0	Comparator & 1.2V Reference	1	8
7805			TO-220	0.3	+5V-Voltage Regulator	1	9
78S05			TO-220	0.53	+5V-Voltage Regulator	1	9
78L05			TO-92	0.25	+5V-Voltage Regulator 100mA	1	9
78L05ACM			SOIC8	0.25	+5V-Voltage Regulator 100mA	1	9
UA78L05CD			SOIC8	0	don't work	1	9
L78L05ABUTR		8C616	SOT-89	0.9	+5V-Voltage Regulator	1	9
UA78M05CDYR			SOT-223	0	+5V-Voltage Regulator 100mA	1	9
78L05			TO-92	0.23	+5V-Voltage Regulator Low Power	1	9
78L15			TO-92	0.22	+15V-Voltage Regulator Low Power	1	9
7905			TO-220	0.28	-5V-Voltage Regulator -100mA	1	9
MC79L05ACDG			SOIC8	0.4	-5V-Voltage Regulator -100mA	1	9
L79L05ACUTR		9C629	SOT-89	0.9	-5V-Voltage Regulator -100mA	1	9
7812			TO-220	0.28	+12V-Voltage Regulator	1	9
78L12			TO-92	0.25	+12V-Voltage Regulator 100mA	1	9
L78L12ACD			SOIC8	0	+12V-Voltage Regulator 100mA	1	9
78S12			TO-220	0.53	+12V-Voltage Regulator 2A	1	9
7912			TO-220	0.28	-12V-Voltage Regulator	1	9
79L12			TO-92	0.25	-12V-Voltage Regulator -100mA	1	9
LM79L12ACM			SOIC8	1	-12V-Voltage Regulator -100mA	1	9
MC7912ACM			SOIC8	0.4	-12V-Voltage Regulator -100mA	1	9
7815			TO-220	0.28	+15V-Voltage Regulator	1	9
78S15			TO-220	0.53	+15V-Voltage Regulator 2A	1	9
7915			TO-220	0.28	-15V-Voltage Regulator	1	9
7824			TO-220	0.33	+24V-Voltage Regulator	1	9
78S24			TO-220	0.56	+24V-Voltage Regulator 2A	1	9
MIC5207-5.0BM5		LE05	SOT23-5	0.81	"+5V-LDO-Voltage Regulator 180mA, Low Power, Shut Down,"	1	9
MIC5207-BM5		LEAA	SOT23-5	0.81	"+5V-LDO-Voltage Regulator 180mA, Low Power, Shut Down, adj,"	1	9
L121AB			DIL16	0	Voltage Regulator	1	9
L200			TO-220-5	0	Voltage Regulator	1	9
LM317LCDR		L317LC	SOIC8	0.46	#NAME?	1	9
LM317DCYR		L3	SOT-223-3	0.6	#NAME?	1	9
LM317			TO-220	0	#NAME?	1	9
LM317T		LM317T	TO-220	0.51	+ VOLT REG ADJ 1.23...37V / 1.5A	1	9
LM317HVT		LM317HVT	TO-220	2.77	"+ VOLT REG ADJ 1.23...37V / 1.5A, High Voltage"	1	9
LM337T			TO-220	0.78	- VOLT REG ADJ 1.23...37V / 1.5A 	1	9
LM350K			TO-3		+ VOLT REG ADJ 1.23...37V / 4A 	1	9
LM2931AD50R		293A50	SOIC8	1.56	"+5V-LDO-Voltage Regulator 100mA, Low Power, "	1	9
LM2575T-5.0			TO220-5		"DC/DC-Converter, 1A, STEP-DOWN, Vout = 5.0V"	1	9
LM2575T-ADJ				0		1	9
LM2576T-ADJ			TO-220-5	3.2	"DC/DC-Converter, 3A, STEP-DOWN, Vout = 1.23V...37V"	1	9
LM2577T-ADJ/NOPB			TO-220-5	5.57	"DC/DC-Converter, 3A, STEP-UP, adjustable, Vin=40Vmax Vout=37Vmax / 3A"	1	9
LM2577S-ADJ			TO-263	5.57	"DC/DC-Converter, adjustable, Vin=40Vmax Vout=37Vmax / 3A"	1	9
KA723			DIL16	0.9	Progr.Voltage Regulator	1	9
CA723			DIL16	0.9	Progr.Voltage Regulator	1	9
TL2844DR			SOIC14	0.75	I-Mode PWM CONTROLLER	1	9
UC3843			DIL8	1.9	"PWM-Controller, Current Mode Controller"	1	9
UC3845N			DIL8	1.9	"PWM-Controller, Current Mode Controller"	1	9
L4962A			DIL16		"DC/DC-Converter, 1.5A, STEP-DOWN, Vout = 5.1…40V"	1	9
MIP2			DIL8	2	"PWM-Controller, IDP, 20W"	1	9
ICL7660ACPA			DIL8	2.08	Charge Pump DC/DC Conv	1	9
TC7660SCOA			SOIC8	0.54	"Charge Pump DC/DC Conv 1.5 ...12V, 0 ..+70ºC"	1	9
TC7660SEOA713CT			SOIC8	1.11	"Charge Pump DC/DC Conv 1.5 ...12V, -40ºC..+85ºC"	1	9
TC7660EOA			SOIC8	0.48	"Charge Pump DC/DC Conv 1.5 ...10V, -40ºC..+85ºC"	1	9
HV9861ALG-G			SOIC8		Constant Current LED Driver 15..450VDC	4	9
AD581KH			TO-05	9.75	+10V-Prec Voltage Reference 0.1% 10ppm	1	10
